column1,enrollments,h1,institution,language,level,pace,price,subject,time_duration,url,video_transcript
520,"11,237",Diagramas UML estructurales para la Ingeniería del Software,UPValenciaX,Español,Introductory,Self-paced - Progress at your own speed,5690,Computer Science,5 weeks - 3–4 hours per week,https://www.edx.org/course/diagramas-uml-estructurales-para-la-ingenieria-del?index=product&queryID=007702488cc4b60cde37bb32f9da4257&position=19&results_level=second-level-results&search_index=product&term=&campaign=Diagramas+UML+estructurales+para+la+Ingenier%C3%ADa+del+Software&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
773,"5,465",Evaluating Animal Breeding Programmes,WageningenX,English,Intermediate,Self-paced - Progress at your own speed,12286,Biology & Life Sciences,6 weeks - 4–6 hours per week,https://www.edx.org/course/evaluating-animal-breeding-programmes-2, English
521,"29,308",Data Science and Machine Learning Capstone Project,IBM,English,Intermediate,Self-paced - Progress at your own speed,12286,Data Analysis & Statistics,6 weeks - 3–4 hours per week,https://www.edx.org/course/data-science-and-machine-learning-capstone-project?index=product&queryID=007702488cc4b60cde37bb32f9da4257&position=20&results_level=second-level-results&search_index=product&term=&campaign=Data+Science+and+Machine+Learning+Capstone+Project&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
522,"8,866",Tech for Good: The Role of ICT in Achieving the SDGs,SDGAcademyX,English,Intermediate,Self-paced - Progress at your own speed,0,Communication,10 weeks - 3–5 hours per week,https://www.edx.org/course/tech-for-good-the-role-of-ict-in-achieving-the-sdg?index=product&queryID=007702488cc4b60cde37bb32f9da4257&position=21&results_level=second-level-results&search_index=product&term=&campaign=Tech+for+Good%3A+The+Role+of+ICT+in+Achieving+the+SDGs&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," English, Español, Português, Русский"
523,-,"Introduction to Object-Oriented Programming with Java III: Exceptions, Data Structures, Recursion, and GUIs",GTx,English,Introductory,Self-paced - Progress at your own speed,16409,Computer Science,6 weeks - 5–6 hours per week,https://www.edx.org/course/introduction-to-java-programming-iii-interfaces-polymorphism-and-complexity?index=product&queryID=007702488cc4b60cde37bb32f9da4257&position=22&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Object-Oriented+Programming+with+Java+III%3A+Exceptions%2C+Data+Structures%2C+Recursion%2C+and+GUIs&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
524,-,Probabilidad y estadística,URosarioX,Español,Intermediate,Self-paced - Progress at your own speed,4865,Math,4 weeks - 4–6 hours per week,https://www.edx.org/course/probabilidad-y-estadistica?index=product&queryID=007702488cc4b60cde37bb32f9da4257&position=23&results_level=second-level-results&search_index=product&term=&campaign=Probabilidad+y+estad%C3%ADstica&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
525,"9,670",Climate Action: Solutions for a Changing Planet,SDGAcademyX,English,Intermediate,Self-paced - Progress at your own speed,0,Environmental Studies,10 weeks - 2–4 hours per week,https://www.edx.org/course/climate-action-solutions-for-a-changing-planet?index=product&queryID=007702488cc4b60cde37bb32f9da4257&position=24&results_level=second-level-results&search_index=product&term=&campaign=Climate+Action%3A+Solutions+for+a+Changing+Planet&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
526,"18,320",Mandarin Chinese for Business,MandarinX,English,Intermediate,Self-paced - Progress at your own speed,13935,Language,6 weeks - 4–10 hours per week,https://www.edx.org/course/mandarin-chinese-for-business?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=1&results_level=second-level-results&search_index=product&term=&campaign=Mandarin+Chinese+for+Business&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
527,-,The Art and Science of Searching in Systematic Reviews,NUS,English,Introductory,Self-paced - Progress at your own speed,8163,Medicine,5 weeks - 2–3 hours per week,https://www.edx.org/course/the-art-and-science-of-searching-in-systematic-reviews?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=2&results_level=second-level-results&search_index=product&term=&campaign=The+Art+and+Science+of+Searching+in+Systematic+Reviews&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
528,"26,806",Caer o No caer. El Secreto de las Estructuras.,UC3Mx,Español,Introductory,Self-paced - Progress at your own speed,2391,Engineering,8 weeks - 2–3 hours per week,https://www.edx.org/course/caer-o-no-caer-el-secreto-de-las-estructuras?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=3&results_level=second-level-results&search_index=product&term=&campaign=Caer+o+No+caer.+El+Secreto+de+las+Estructuras.&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
529,-,Identificación por Radiofrecuencia RFID,logycaX,Español,Introductory,Instructor-paced - Instructor led on a course schedule,2061,Engineering,4 weeks - 3–5 hours per week,https://www.edx.org/course/gestion-de-producto-con-codigo-electronico?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=4&results_level=second-level-results&search_index=product&term=&campaign=Identificaci%C3%B3n+por+Radiofrecuencia+RFID&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
530,-,Intro Course: Data Storytelling,edX,English,Introductory,Self-paced - Progress at your own speed,8163,Business & Management,4 weeks - 20–40 hours per week,https://www.edx.org/course/intro-course-data-storytelling?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=5&results_level=second-level-results&search_index=product&term=&campaign=Intro+Course%3A+Data+Storytelling&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
531,-,Strategic Communication for Sustainability Leaders,UMCES,English,Introductory,Self-paced - Progress at your own speed,12286,Environmental Studies,5 weeks - 5–8 hours per week,https://www.edx.org/course/strategic-communication-for-sustainability-leaders?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=6&results_level=second-level-results&search_index=product&term=&campaign=Strategic+Communication+for+Sustainability+Leaders&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," English, Español, Wikang Tagalog"
532,-,3D GIS,AlaskaX,English,Intermediate,Self-paced - Progress at your own speed,18883,Engineering,4 weeks - 3–5 hours per week,https://www.edx.org/course/3d-gis?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=7&results_level=second-level-results&search_index=product&term=&campaign=3D+GIS&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," English, Español"
533,"34,825",Ecodesign for Cities and Suburbs,UBCx,English,Introductory,Self-paced - Progress at your own speed,8163,Environmental Studies,6 weeks - 4–5 hours per week,https://www.edx.org/course/ecodesign-for-cities-and-suburbs?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=8&results_level=second-level-results&search_index=product&term=&campaign=Ecodesign+for+Cities+and+Suburbs&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, 
774,"29,024",Proteins: Biology's Workforce,RICEx,English,Intermediate,Self-paced - Progress at your own speed,13935,Biology & Life Sciences,5 weeks - 4–6 hours per week,https://www.edx.org/course/proteins-biologys-workforce-ricex-bioc300-1x-0, English
534,"26,628",Cybersecurity: The CISO's View,UWashingtonX,English,Introductory,Self-paced - Progress at your own speed,16409,Computer Science,6 weeks - 2–5 hours per week,https://www.edx.org/course/cybersecurity-the-cisos-view?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=9&results_level=second-level-results&search_index=product&term=&campaign=Cybersecurity%3A+The+CISO%27s+View&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
535,"19,278",Introducción a la programación en Java: escribiendo buen código,UC3Mx,Español,Introductory,Self-paced - Progress at your own speed,4040,Computer Science,5 weeks - 5–7 hours per week,https://www.edx.org/course/introduccion-a-la-programacion-en-java-escribiendo?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=10&results_level=second-level-results&search_index=product&term=&campaign=Introducci%C3%B3n+a+la+programaci%C3%B3n+en+Java%3A+escribiendo+buen+c%C3%B3digo&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
536,"20,860",Introduction to Connected Strategy,Wharton,English,Intermediate,Self-paced - Progress at your own speed,16409,Business & Management,6 weeks - 2–4 hours per week,https://www.edx.org/course/connected-strategy-2?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=11&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Connected+Strategy&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
537,"28,683",Space Mission Design and Operations,EPFLx,English,Intermediate,Self-paced - Progress at your own speed,4865,Engineering,8 weeks - 2–4 hours per week,https://www.edx.org/course/space-mission-design-and-operations?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=12&results_level=second-level-results&search_index=product&term=&campaign=Space+Mission+Design+and+Operations&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
538,"5,718",UX Data Analysis,HECMontrealX,English,Intermediate,Self-paced - Progress at your own speed,24655,Data Analysis & Statistics,6 weeks - 6–9 hours per week,https://www.edx.org/course/ux-data-analysis?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=13&results_level=second-level-results&search_index=product&term=&campaign=UX+Data+Analysis&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
539,"27,905",La Química Orgánica: un mundo a tu alcance,UAMx,Español,Introductory,Self-paced - Progress at your own speed,2391,Chemistry,6 weeks - 4–5 hours per week,https://www.edx.org/course/la-quimica-organica-un-mundo-a-tu-alcance?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=14&results_level=second-level-results&search_index=product&term=&campaign=La+Qu%C3%ADmica+Org%C3%A1nica%3A+un+mundo+a+tu+alcance&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
540,"5,143",Design Thinking y ODS: creando soluciones innovadoras,URosarioX,Español,Introductory,Self-paced - Progress at your own speed,4865,Business & Management,4 weeks - 4–6 hours per week,https://www.edx.org/course/design-thinking-y-ods-creando-soluciones-innovadoras?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=15&results_level=second-level-results&search_index=product&term=&campaign=Design+Thinking+y+ODS%3A+creando+soluciones+innovadoras&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
541,"9,805",Essentials of Genomics and Biomedical Informatics,IsraelX,English,Advanced,Self-paced - Progress at your own speed,4040,Medicine,12 weeks - 2–3 hours per week,https://www.edx.org/course/essentials-of-genomics-and-biomedical-informatics?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=16&results_level=second-level-results&search_index=product&term=&campaign=Essentials+of+Genomics+and+Biomedical+Informatics&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," اَلْعَرَبِيَّةُ, English, עברית"
542,"17,071",Machine Dynamics with MATLAB,RWTHx,English,Intermediate,Self-paced - Progress at your own speed,7339,Engineering,7 weeks - 8–10 hours per week,https://www.edx.org/course/machine-dynamics-with-matlab?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=17&results_level=second-level-results&search_index=product&term=&campaign=Machine+Dynamics+with+MATLAB&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
543,-,La Innovación como aliado del Emprendimiento,logycaX,Español,Introductory,Self-paced - Progress at your own speed,4123,Economics & Finance,5 weeks - 2–4 hours per week,https://www.edx.org/course/la-innovacion-como-aliado-del-emprendimiento?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=18&results_level=second-level-results&search_index=product&term=&campaign=La+Innovaci%C3%B3n+como+aliado+del+Emprendimiento&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
544,"21,676",COVID-19 Training for Healthcare Workers,StanfordOnline,English,Introductory,Self-paced - Progress at your own speed,825,Medicine,2 weeks - 1–10 hours per week,https://www.edx.org/course/covid-19-care-a-lifesaving-program-for-healthcare-providers?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=19&results_level=second-level-results&search_index=product&term=&campaign=COVID-19+Training+for+Healthcare+Workers&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
545,"18,513",Transfer Functions and the Laplace Transform,MITx,English,Intermediate,Self-paced - Progress at your own speed,8246,Math,10 weeks - 3–6 hours per week,https://www.edx.org/course/transfer-functions-and-the-laplace-transform?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=20&results_level=second-level-results&search_index=product&term=&campaign=Transfer+Functions+and+the+Laplace+Transform&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
546,"12,130",Critical thinking: reasoned decision making,TecdeMonterreyX,English,Introductory,Self-paced - Progress at your own speed,12286,Business & Management,4 weeks - 5–8 hours per week,https://www.edx.org/course/critical-thinking-reasoned-decision-making?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=21&results_level=second-level-results&search_index=product&term=&campaign=Critical+thinking%3A+reasoned+decision+making&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
547,-,"Endocrine, Renal and Gastrointestinal Systems",UQx,English,Introductory,Self-paced - Progress at your own speed,10637,Medicine,8 weeks - 3–5 hours per week,https://www.edx.org/course/renal-gastrointestinal-and-endocrine-systems?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=23&results_level=second-level-results&search_index=product&term=&campaign=Endocrine%2C+Renal+and+Gastrointestinal+Systems&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
548,"17,046",Cómo Aprender Online,edX,Español,Introductory,Self-paced - Progress at your own speed,4040,Education & Teacher Training,2 weeks - 2–3 hours per week,https://www.edx.org/course/como-aprender-online?index=product&queryID=f13d1413e0cea356b95f78cb310621a9&position=24&results_level=second-level-results&search_index=product&term=&campaign=C%C3%B3mo+Aprender+Online&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," English, Español"
549,-,Introducción a los procedimientos de construcción para la mejora de terrenos en obra civil y edificación,UPValenciaX,Español,Introductory,Self-paced - Progress at your own speed,7339,Engineering,8 weeks - 4–5 hours per week,https://www.edx.org/course/introduccion-procedimientos-construccion-obra-civil?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=1&results_level=second-level-results&search_index=product&term=&campaign=Introducci%C3%B3n+a+los+procedimientos+de+construcci%C3%B3n+para+la+mejora+de+terrenos+en+obra+civil+y+edificaci%C3%B3n&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
550,"12,468",Protecting Children in Humanitarian Settings,ColumbiaX,English,Intermediate,Self-paced - Progress at your own speed,4123,Social Sciences,12 weeks - 3–5 hours per week,https://www.edx.org/course/protecting-children-in-humanitarian-settings?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=2&results_level=second-level-results&search_index=product&term=&campaign=Protecting+Children+in+Humanitarian+Settings&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
551,-,Positive Psychology,APA,English,Introductory,Self-paced - Progress at your own speed,8246,Social Sciences,15 weeks - 5–25 hours per week,https://www.edx.org/course/positive-psychology?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=3&results_level=second-level-results&search_index=product&term=&campaign=Positive+Psychology&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
552,-,Creating and Designing with Spark AR,Meta,English,Introductory,Self-paced - Progress at your own speed,10637,Design,4 weeks - 16–20 hours per week,https://www.edx.org/course/creating-and-designing-with-spark-ar?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=4&results_level=second-level-results&search_index=product&term=&campaign=Creating+and+Designing+with+Spark+AR&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
553,"23,009",Introduction to Psychological Research Methods,UQx,English,Introductory,Self-paced - Progress at your own speed,16409,Humanities,7 weeks - 1–2 hours per week,https://www.edx.org/course/introduction-to-psychological-research-methods?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=5&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Psychological+Research+Methods&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
554,"94,300",HTML5 Apps and Games,W3Cx,English,Advanced,Self-paced - Progress at your own speed,16409,Computer Science,4 weeks - 6–8 hours per week,https://www.edx.org/course/html5-apps-and-games?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=6&results_level=second-level-results&search_index=product&term=&campaign=HTML5+Apps+and+Games&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
555,-,Manejo del estrés desde la neurociencia,URosarioX,Español,Introductory,Self-paced - Progress at your own speed,5690,Medicine,4 weeks - 4–6 hours per week,https://www.edx.org/course/manejo-del-estres-desde-la-neurociencia?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=7&results_level=second-level-results&search_index=product&term=&campaign=Manejo+del+estr%C3%A9s+desde+la+neurociencia&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
556,"9,998",Introduction to Watson AI,IBM,English,Introductory,Self-paced - Progress at your own speed,8163,Computer Science,8 weeks - 4–8 hours per week,https://www.edx.org/course/intro-to-watson-AI?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=10&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Watson+AI&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
557,"6,388",Becoming a Hyperledger Aries Developer,LinuxFoundationX,English,Introductory,Self-paced - Progress at your own speed,14760,Computer Science,10 weeks - 3–4 hours per week,https://www.edx.org/course/becoming-a-hyperledger-aries-developer?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=11&results_level=second-level-results&search_index=product&term=&campaign=Becoming+a+Hyperledger+Aries+Developer&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
558,"9,120",Bienestar para el desarrollo personal y profesional,AnahuacX,Español,Intermediate,Self-paced - Progress at your own speed,2391,Health & Safety,5 weeks - 5–7 hours per week,https://www.edx.org/course/para-entender-el-bienestar-y-estar-bien?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=12&results_level=second-level-results&search_index=product&term=&campaign=Bienestar+para+el+desarrollo+personal+y+profesional&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
559,"5,572",Matemáticas para la U,URosarioX,Español,Introductory,Self-paced - Progress at your own speed,5690,Math,4 weeks - 4–6 hours per week,https://www.edx.org/course/matematicas-para-la-U?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=13&results_level=second-level-results&search_index=product&term=&campaign=Matem%C3%A1ticas+para+la+U&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
560,"28,593",Shakespeare's The Merchant of Venice: Shylock,HarvardX,English,Introductory,Self-paced - Progress at your own speed,8163,Humanities,4 weeks - 5–7 hours per week,https://www.edx.org/course/shakespeares-merchant-of-venice-shylock?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=14&results_level=second-level-results&search_index=product&term=&campaign=Shakespeare%27s+The+Merchant+of+Venice%3A+Shylock&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
561,"8,669",Planetary Boundaries,SDGAcademyX,English,Intermediate,Self-paced - Progress at your own speed,0,Energy & Earth Sciences,8 weeks - 2–4 hours per week,https://www.edx.org/course/planetary-boundaries?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=15&results_level=second-level-results&search_index=product&term=&campaign=Planetary+Boundaries&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch," English, Español, Italiano"
562,-,Introduction to Bayesian Statistics Using R,UCx,English,Introductory,Self-paced - Progress at your own speed,11462,Data Analysis & Statistics,6 weeks - 5–10 hours per week,https://www.edx.org/course/introduction-to-bayesian-statistics?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=16&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Bayesian+Statistics+Using+R&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
563,"9,499",Strategic Management Capstone,Wharton,English,Intermediate,Self-paced - Progress at your own speed,16409,Business & Management,6 weeks - 2–4 hours per week,https://www.edx.org/course/connected-strategy-capstone?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=17&results_level=second-level-results&search_index=product&term=&campaign=Strategic+Management+Capstone&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
564,-,Linux Tools for Software Development,LinuxFoundationX,English,Introductory,Self-paced - Progress at your own speed,12286,Computer Science,14 weeks - 1–2 hours per week,https://www.edx.org/course/linux-tools-for-developers?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=18&results_level=second-level-results&search_index=product&term=&campaign=Linux+Tools+for+Software+Development&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
565,"7,431",Digital Platforms in Performance,UniversityofCambridge,English,Intermediate,Self-paced - Progress at your own speed,16409,Communication,4 weeks - 8–10 hours per week,https://www.edx.org/course/digital-platforms-in-performance?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=19&results_level=second-level-results&search_index=product&term=&campaign=Digital+Platforms+in+Performance&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
566,"18,461","Money Markets, Foreign Exchange and Time Value of Money",NYIF,English,Introductory,Self-paced - Progress at your own speed,16409,Economics & Finance,4 weeks - 1–2 hours per week,https://www.edx.org/course/money-markets-foreign-exchange-and-time-value-of-m?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=20&results_level=second-level-results&search_index=product&term=&campaign=Money+Markets%2C+Foreign+Exchange+and+Time+Value+of+Money&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
567,"5,914",Identificación de producto con códigos de barras,logycaX,Español,Introductory,Self-paced - Progress at your own speed,2061,Business & Management,5 weeks - 5–7 hours per week,https://www.edx.org/course/identificacion-de-producto-con-codigos-de-barras?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=21&results_level=second-level-results&search_index=product&term=&campaign=Identificaci%C3%B3n+de+producto+con+c%C3%B3digos+de+barras&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
568,-,Introduction to Risk Management,NYIF,English,Intermediate,Self-paced - Progress at your own speed,0,Economics & Finance,4 weeks - 1–2 hours per week,https://www.edx.org/course/introduction-to-risk-management?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=22&results_level=second-level-results&search_index=product&term=&campaign=Introduction+to+Risk+Management&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
569,-,Leadership in the family business,TecdeMonterreyX,English,Intermediate,Self-paced - Progress at your own speed,12286,Business & Management,5 weeks - 7–8 hours per week,https://www.edx.org/course/leadership-in-the-family-business?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=23&results_level=second-level-results&search_index=product&term=&campaign=Leadership+in+the+family+business&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
570,"9,591",Fundamentals of Financial Mathematics and Capital Budgeting,NYIF,English,Introductory,Self-paced - Progress at your own speed,8163,Economics & Finance,4 weeks - 1–2 hours per week,https://www.edx.org/course/fundamental-of-financial-mathematics-and-capital-budgeting?index=product&queryID=890915e05fcd8fa2bad06349417fe2f0&position=24&results_level=second-level-results&search_index=product&term=&campaign=Fundamentals+of+Financial+Mathematics+and+Capital+Budgeting&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
571,"8,843",Análisis del riesgo de desastres y cambio climático en proyectos de infraestructura,IDBx,Español,Advanced,Self-paced - Progress at your own speed,2061,Engineering,10 weeks - 2–3 hours per week,https://www.edx.org/course/analisis-de-riesgos-de-desastres-naturales-y-cambio-climatico-en-proyectos-de-infraestructura?index=product&queryID=3fb85f0be722f1938120162a9ff83f13&position=1&results_level=second-level-results&search_index=product&term=&campaign=An%C3%A1lisis+del+riesgo+de+desastres+y+cambio+clim%C3%A1tico+en+proyectos+de+infraestructura&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
572,"28,471","Introducción al griego clásico: lengua, nombres y mitología",UAMx,Español,Introductory,Self-paced - Progress at your own speed,2391,Language,5 weeks - 4–5 hours per week,https://www.edx.org/course/aprende-griego-clasico-1?index=product&queryID=3fb85f0be722f1938120162a9ff83f13&position=2&results_level=second-level-results&search_index=product&term=&campaign=Introducci%C3%B3n+al+griego+cl%C3%A1sico%3A+lengua%2C+nombres+y+mitolog%C3%ADa&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
573,-,Cell cultivation techniques: An introduction,ZHAWx,English,Intermediate,Self-paced - Progress at your own speed,12369,Biology & Life Sciences,8 weeks - 4–6 hours per week,https://www.edx.org/course/cell-cultivation-techniques-an-introduction?index=product&queryID=3fb85f0be722f1938120162a9ff83f13&position=3&results_level=second-level-results&search_index=product&term=&campaign=Cell+cultivation+techniques%3A+An+introduction&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
574,"20,345",Gestión ágil de proyectos,JaverianaX,Español,Intermediate,Self-paced - Progress at your own speed,4040,Business & Management,5 weeks - 4–5 hours per week,https://www.edx.org/course/gestion-agil-de-proyectos?index=product&queryID=3fb85f0be722f1938120162a9ff83f13&position=4&results_level=second-level-results&search_index=product&term=&campaign=Gesti%C3%B3n+%C3%A1gil+de+proyectos&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, Español
575,-,Java Programming: Basic Skills,Codio,English,Introductory,Self-paced - Progress at your own speed,12286,Computer Science,5 weeks - 2–3 hours per week,https://www.edx.org/course/java-programming-basic-skills?index=product&queryID=3fb85f0be722f1938120162a9ff83f13&position=5&results_level=second-level-results&search_index=product&term=&campaign=Java+Programming%3A+Basic+Skills&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
576,-,C++ Programming: Object-Oriented Design,Codio,English,Introductory,Self-paced - Progress at your own speed,18883,Computer Science,5 weeks - 2–3 hours per week,https://www.edx.org/course/c-object-oriented-design?index=product&queryID=3fb85f0be722f1938120162a9ff83f13&position=6&results_level=second-level-results&search_index=product&term=&campaign=C%2B%2B+Programming%3A+Object-Oriented+Design&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
577,"51,746",Anthropology of Current World Issues,UQx,English,Introductory,Self-paced - Progress at your own speed,11462,Humanities,9 weeks - 2–4 hours per week,https://www.edx.org/course/anthropology-of-current-world-issues?index=product&queryID=3fb85f0be722f1938120162a9ff83f13&position=7&results_level=second-level-results&search_index=product&term=&campaign=Anthropology+of+Current+World+Issues&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
578,"13,161",Indian & Tibetan River of Buddhism,ColumbiaX,English,Intermediate,Self-paced - Progress at your own speed,4122,Humanities,12 weeks - 2–4 hours per week,https://www.edx.org/course/indian-tibetan-river-of-buddhism?index=product&queryID=3fb85f0be722f1938120162a9ff83f13&position=8&results_level=second-level-results&search_index=product&term=&campaign=Indian+%26+Tibetan+River+of+Buddhism&source=edX&product_category=course&placement_url=https%3A%2F%2Fwww.edx.org%2Fsearch, English
